ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnk2NzY4NzcwNg==;https://github.com/kdeldycke/awesome-falsehood;awesome-falsehood;kdeldycke/awesome-falsehood;20354;108;87;0;;2016-09-08T09:13:47Z;2023-02-18T14:35:31Z;24;25
MDEwOlJlcG9zaXRvcnkxMjI3MzQ1Njk=;https://github.com/iawia002/lux;lux;iawia002/lux;20294;288;255;75;Go;2018-02-24T11:29:03Z;2023-02-27T02:44:09Z;485;906
MDEwOlJlcG9zaXRvcnk0NjYyMjMyMw==;https://github.com/camsong/You-Dont-Need-jQuery;You-Dont-Need-jQuery;camsong/You-Dont-Need-jQuery;20291;182;165;1;JavaScript;2015-11-21T16:02:26Z;2023-02-08T10:59:05Z;66;68
MDEwOlJlcG9zaXRvcnk3MzY0ODY3OA==;https://github.com/forem/forem;forem;forem/forem;20289;13268;11876;0;Ruby;2016-11-13T23:02:13Z;2023-03-04T06:01:26Z;4569;5104
R_kgDOHpcSSg;https://github.com/WeNeedHome/SummaryOfLoanSuspension;SummaryOfLoanSuspension;WeNeedHome/SummaryOfLoanSuspension;20281;509;279;0;HTML;2022-07-12T16:33:25Z;2022-10-27T02:13:49Z;0;0
MDEwOlJlcG9zaXRvcnkzNDg2NDQwMg==;https://github.com/apache/mxnet;mxnet;apache/mxnet;20276;11110;8838;34;C++;2015-04-30T16:21:15Z;2023-01-26T21:28:45Z;7758;9549
MDEwOlJlcG9zaXRvcnkxMjY3MDQ0NA==;https://github.com/petkaantonov/bluebird;bluebird;petkaantonov/bluebird;20256;550;292;123;JavaScript;2013-09-07T19:39:57Z;2022-12-07T09:51:27Z;1072;1142
MDEwOlJlcG9zaXRvcnkyNjgyMDc5OA==;https://github.com/avajs/ava;ava;avajs/ava;20250;1372;1012;93;JavaScript;2014-11-18T17:20:26Z;2023-03-01T10:11:25Z;1524;1611
MDEwOlJlcG9zaXRvcnkyMjM3NDA2Mw==;https://github.com/futurice/android-best-practices;android-best-practices;futurice/android-best-practices;20246;109;80;0;;2014-07-29T09:09:44Z;2019-01-20T21:08:06Z;61;84
MDEwOlJlcG9zaXRvcnkxNjk1Mjk1Njc=;https://github.com/zhaoolee/ChromeAppHeroes;ChromeAppHeroes;zhaoolee/ChromeAppHeroes;20233;27;7;0;JavaScript;2019-02-07T06:35:24Z;2022-10-22T09:03:18Z;31;45
MDEwOlJlcG9zaXRvcnk0MDI3NjI3NA==;https://github.com/ziglang/zig;zig;ziglang/zig;20221;6723;5389;14;Zig;2015-08-06T00:51:28Z;2023-03-05T15:56:44Z;5944;8015
MDEwOlJlcG9zaXRvcnk5MzI1MzI0Ng==;https://github.com/javascript-tutorial/en.javascript.info;en.javascript.info;javascript-tutorial/en.javascript.info;20218;2591;1897;0;HTML;2017-06-03T14:27:57Z;2023-01-29T17:44:47Z;678;782
MDEwOlJlcG9zaXRvcnkzMTUyMjA0MQ==;https://github.com/vnpy/vnpy;vnpy;vnpy/vnpy;20217;1418;997;55;Python;2015-03-02T03:36:58Z;2023-02-16T05:46:09Z;1947;1957
MDEwOlJlcG9zaXRvcnkxMjA2NTQ2;https://github.com/winstonjs/winston;winston;winstonjs/winston;20203;907;497;17;JavaScript;2010-12-29T18:49:51Z;2023-02-08T21:35:03Z;963;1374
MDEwOlJlcG9zaXRvcnkxMzc2NjY0;https://github.com/Seldaek/monolog;monolog;Seldaek/monolog;20201;1030;663;64;PHP;2011-02-17T02:07:15Z;2023-02-20T12:31:07Z;742;762
MDEwOlJlcG9zaXRvcnkxNDgwNzE3Mw==;https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System;How-to-Make-a-Computer-Operating-System;SamyPesse/How-to-Make-a-Computer-Operating-System;20200;95;42;1;C;2013-11-29T17:36:32Z;2015-10-29T19:04:29Z;28;72
MDEwOlJlcG9zaXRvcnk5OTQwMTI5OQ==;https://github.com/ai/nanoid;nanoid;ai/nanoid;20179;200;165;1;JavaScript;2017-08-05T05:24:35Z;2023-02-20T20:02:06Z;197;201
MDEwOlJlcG9zaXRvcnkyMDc4NzEyMg==;https://github.com/PostgREST/postgrest;postgrest;PostgREST/postgrest;20138;1051;878;52;Haskell;2014-06-13T00:23:00Z;2023-03-01T17:23:19Z;1228;1400
MDEwOlJlcG9zaXRvcnk2NjA4ODk3OQ==;https://github.com/changkun/modern-cpp-tutorial;modern-cpp-tutorial;changkun/modern-cpp-tutorial;20137;135;104;3;C++;2016-08-19T14:39:15Z;2023-02-27T06:29:37Z;107;112
MDEwOlJlcG9zaXRvcnkyOTIxNzA1NA==;https://github.com/go-micro/go-micro;go-micro;go-micro/go-micro;20121;1562;1343;318;Go;2015-01-13T23:30:18Z;2023-01-03T11:58:03Z;882;946
MDEwOlJlcG9zaXRvcnkxOTk5NDI1Nw==;https://github.com/go-delve/delve;delve;go-delve/delve;20115;1751;1421;23;Go;2014-05-20T19:24:43Z;2023-03-01T19:28:32Z;1398;1504
MDEwOlJlcG9zaXRvcnkyMDUxMjI2;https://github.com/eligrey/FileSaver.js;FileSaver.js;eligrey/FileSaver.js;20100;163;67;14;JavaScript;2011-07-15T03:27:54Z;2022-09-22T16:23:15Z;465;621
MDEwOlJlcG9zaXRvcnk5MjExMTUwOQ==;https://github.com/zadam/trilium;trilium;zadam/trilium;20099;234;153;259;JavaScript;2017-05-23T00:30:20Z;2023-03-02T07:44:55Z;2053;2771
MDEwOlJlcG9zaXRvcnk4MzUxNjQ5OA==;https://github.com/norvig/pytudes;pytudes;norvig/pytudes;20098;83;53;0;Jupyter Notebook;2017-03-01T05:43:35Z;2023-02-08T23:00:58Z;18;34
MDEwOlJlcG9zaXRvcnkxNjUwNDE3MzI=;https://github.com/go-kratos/kratos;kratos;go-kratos/kratos;20096;1701;1190;57;Go;2019-01-10T10:42:31Z;2023-02-27T13:16:08Z;866;966
MDEwOlJlcG9zaXRvcnk4OTg2Nzcz;https://github.com/benweet/stackedit;stackedit;benweet/stackedit;20073;132;35;13;JavaScript;2013-03-24T13:46:06Z;2021-03-29T19:21:35Z;1004;1658
MDEwOlJlcG9zaXRvcnkyMjM5NDM1Nw==;https://github.com/osquery/osquery;osquery;osquery/osquery;20062;4786;4076;123;C++;2014-07-29T20:27:33Z;2023-03-01T19:25:36Z;2572;3108
MDEwOlJlcG9zaXRvcnk1MDYwMzg0Ng==;https://github.com/parse-community/parse-server;parse-server;parse-community/parse-server;20056;4097;3189;241;JavaScript;2016-01-28T18:29:14Z;2023-03-05T00:23:27Z;4007;4300
MDEwOlJlcG9zaXRvcnkzNDMxMDgz;https://github.com/BradLarson/GPUImage;GPUImage;BradLarson/GPUImage;20050;447;241;3;Objective-C;2012-02-13T15:20:02Z;2016-05-26T15:29:42Z;1310;2216
